TIME,STD,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:31:55,IST,all,19.85,0,6.37,0,0,1.23,0,0,0,72.55
10:31:56,IST,all,18.02,0,4.69,0,0,1.73,0,0,0,75.56
10:31:57,IST,all,23.79,0,7.52,3.88,0,0.73,0,0,0,64.08
10:31:58,IST,all,25.31,0,8.6,0,0,0.98,0,0,0,65.11
10:31:59,IST,all,18.73,0,7.54,10.71,0,0.97,0,0,0,62.04
10:32:00,IST,all,22.61,0,8.29,21.36,0,0.75,0,0,0,46.98
10:32:01,IST,all,40.1,0,7.27,0,0,0.5,0,0,0,52.13
10:32:02,IST,all,31.77,0,9.36,4.68,0,0.49,0,0,0,53.69
10:32:03,IST,all,31.28,0,6.92,0,0,1.03,0,0,0,60.77
10:32:04,IST,all,23.41,0,7.38,0,0,1.02,0,0,0,68.19
10:32:05,IST,all,32.83,0,8.08,5.3,0,0.76,0,0,0,53.03
10:32:06,IST,all,44.42,0,6.09,0,0,0.76,0,0,0,48.73
10:32:07,IST,all,30.96,0,7.11,0,0,0.51,0,0,0,61.42
10:32:08,IST,all,29.56,0,8.37,0,0,0.74,0,0,0,61.33
10:32:09,IST,all,26.46,0,9.16,0,0,1.02,0,0,0,63.36
10:32:10,IST,all,32.83,0.25,8.02,0.5,0,0.75,0,0,0,57.64
10:32:11,IST,all,27.03,0,8.35,0,0,1.97,0,0,0,62.65
10:32:12,IST,all,26.25,0,7.75,0.25,0,1.25,0,0,0,64.5
10:32:13,IST,all,18.84,0,7.29,0,0,1.01,0,0,0,72.86
10:32:14,IST,all,28.43,0,8.82,0,0,0.49,0,0,0,62.25
10:32:15,IST,all,41.15,0,5.24,2.24,0,1.25,0,0,0,50.12
10:32:16,IST,all,32.42,0,6.73,0.5,0,1,0,0,0,59.35
10:32:17,IST,all,29.32,0,8.02,0,0,1.25,0,0,0,61.4
10:32:18,IST,all,24.38,0,7.71,0,0,1,0,0,0,66.92
10:32:19,IST,all,26.24,0,7.43,0,0,1.49,0,0,0,64.85
10:32:20,IST,all,22.03,0,5.2,0,0,1.49,0,0,0,71.29
10:32:21,IST,all,14.86,0,6.55,0.5,0,1.01,0,0,0,77.08
10:32:22,IST,all,20.49,0,5.68,0.74,0,1.73,0,0,0,71.36
10:32:23,IST,all,23.94,0,5.99,0,0,0.75,0,0,0,69.33
10:32:24,IST,all,29.31,0,6.43,1.29,0,0.51,0,0,0,62.47
10:32:25,IST,all,24.14,0,5.67,0,0,1.23,0,0,0,68.97
10:32:26,IST,all,25.31,0,7.62,0,0,0.49,0,0,0,66.58
10:32:27,IST,all,14.79,0,4.76,0,0,1.5,0,0,0,78.95
10:32:28,IST,all,18.77,0,8.15,0,0,0.74,0,0,0,72.35
10:32:29,IST,all,33.75,0,6.8,0.5,0,0.76,0,0,0,58.19
10:32:30,IST,all,17.54,0,6.52,0,0,0.75,0,0,0,75.19
